Sentence,Positive,Negative
Wasn't able to completely understand a topic before we moved to a different one.,0.125,1.375
We learned a lot on the topics being discussed, but when it comes to written exam, we are so confused.,0.0,0.75
60% passing rate in tests wasn't good because people were already having difficulty reaching the 50% mark.,0.0,1.625
Group project could have been given so that students could practice working together to make a code.,0.0,0.0
The final project last year really helped me in understanding the topics discussed but none were given to us this year.,0.0,0.25
awesome teacher.,0.875,0.125
Hello.,0.0,0.0
Hi miss :3.,0.0,0.0
I barely slept for months because i really want to pass.,0.0,0.0
I studied, had a tutor to help me out, conducted and participated in study groups, looked up codes and how-to's on the internet, and I learned a lot.,0.0,0.0
This is the subject I exerted the most effort on.,0.0,0.0
I sacrificed other subjects to try and pass this.I'm slow, I admit but i'm trying really really hard.I can honestly say I gave 110% on this.,0.0,0.25
I really hope my efforts paid off.,0.0,0.0
The course was really fun and you were great.,0.0,0.0
Please keep it up!,0.0,0.0
I hope they could give us a chance to pass this subject.,0.0,0.0
She is a great teacher.,0.0,0.0
She jams with her students.,0.0,0.0
She jokes sometimes so that the discussion won't be boring.,0.0,0.25
Sometimes i get lost during discuss in which i can't properly understand her at times.,0.0,0.0
Thank you ms.
the course is very challenging.,0.75,0.25
well... need more sample programming practices.,0.0,0.0
